name,date,gj-qydf,prov,class1,class2,keyword,desc,link
《固体废物综合治理行动计划》,2026/1/4,国家级,,1.国家战略体系,,固体废物,"旨在加强固体废物综合治理，推进美丽中国建设，加快经济社会发展全面绿色转型。目标到2030年，重点领域固体废物专项整治取得明显成效，固体废物历史堆存量得到有效管控，非法倾倒处置高发态势得到遏制，大宗固体废弃物年综合利用量达到45亿吨，主要再生资源年循环利用量达到5.1亿吨，固体废物综合治理能力和水平显著提升。提出推动源头管控和减量、规范收集转运和贮存等十大方面共26项具体措施。
",https://www.gov.cn/zhengce/content/202601/content_7053807.htm
《绿色产品认证与标识管理办法》,2026/1/4,国家级,,2.政策制度体系,2.2 标准体系,绿色产品认证与标识,旨在为加快构建完善统一的绿色产品认证与标识体系，规范绿色产品认证活动和绿色产品标识使用。明确国家建立实施统一的绿色产品认证与标识体系，统一产品目录，统一评价标准，统一认证规则，统一产品标识。包含认证体系、认证实施等内容。,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/rzjgs/art/2025/art_6663e19ccb9c44908c11c70cd5ac2a22.html
《关于加快能源科技创新支撑能源转型发展的实施意见》,2026/1/4,区域地方级,山西,4.能源领域,,能源转型,旨在进一步提升山西省能源科技创新能力和水平，探索能源转型升级新路径。目标到2030年，具有山西特色的能源科技创新体系更加完善，能源重点领域的关键技术、核心装备和重要部件研发取得突破，累计产出100项以上标志性科技成果，科技成果转化更加高效，技术成交额突破500亿元，能源企业研发机构应设尽设，企业创新主体地位更加突显，科技创新和产业创新深度融合取得显著成效。提出推动煤化工高端化多元化低碳化技术发展、加快新能源技术开发与应用等。,https://www.shanxi.gov.cn/zcwjk/szfwj/202601/t20260105_10032386_wjkDetail.shtml
《分布式电源接入电力系统承载力评估导则》,2026/1/6,国家级,,4.能源领域,,"分布式电源,新型电力系统",旨在支撑节能提效和碳排放管理，是完善新能源消纳和调控政策的重要举措，将进一步提升分布式新能源接入电力系统承载力评估工作的精益化水平，释放配电网对分布式新能源的接纳和配置能力，服务新能源大规模、高质量发展，促进新能源更好消纳。适用于分布式电源接入电力系统承载力计算及可开放容量评估，规定了分布式电源接入电力系统承载力评估的总体要求、系统级承载力计算、设备级承载力计算、承载力计算结果校核、可开放容量评估及等级划分。,https://www.nea.gov.cn/20260106/16146b8b20d741f998ac264a69e5b1e7/c.html
《可再生能源绿色电力证书管理实施细则（试行）》,2026/1/7,国家级,,4.能源领域,,"可再生能源,绿色电力证书",旨在完善绿色能源消费促进机制，规范可再生能源绿色电力证书核发等相关管理工作，依法维护各方合法权益。适用于我国境内可再生能源发电项目电量对应绿证的核发、划转、核销及相关管理工作。与我国境内有物理电量交换的境外可再生能源发电项目，参照本细则执行。包括职责分工、账户管理、绿证核发等方面共45条细则。,https://mp.weixin.qq.com/s/4MAr14DYFLdEsRuvQIzCmg
《绿色工厂评价通则》,2026/1/7,国家级,,3.产业领域,,绿色工厂,旨在积极推动绿色制造标准迭代升级，持续完善重点行业绿色工厂评价体系。这是该标准自2018年实施以来的首次修订，标志着我国绿色工厂培育工作进入新阶段。2025年12月31日起正式实施。新版标准主要有三个变化。一是明确新定义新内涵，结合新形势下绿色低碳发展的新要求，明确绿色工厂新的定位和导向，提出“新五化”，即能源低碳化、资源高效化、生产洁净化、产品绿色化和用地集约化。二是重构指标体系，确立“新五化”的一级指标框架，下设可延伸扩展的二、三级指标，并强化以定量指标为主，突出节能降碳、资源高效利用，权重合计占比高达60%。三是优化评价方法，引入基于“基准值”和“引领值”的量化评分体系，企业将实际数据与“基准值”和“引领值”进行对比得出分数，通过评分反映自身绿色化发展水平，这样的评价结果更具有区分度，更易于应用。,https://www.miit.gov.cn/xwfb/gxdt/sjdt/art/2026/art_136c7de70f324b7f8f05ab203cd64874.html
《江西省电力市场规则（试行4.0修订版）》,2026/1/7,区域地方级,江西,4.能源领域,,电力市场,为落实江西省新能源全面入市有关要求，对《江西省电力市场规则（试行4.0版）》（华中监能市场规〔2025〕82号）进行修订。本细则适用于江西电力市场，含电力中长期、现货、辅助服务市场等。,https://drc.jiangxi.gov.cn/jxsfzhggwyh/col/col14590/content/content_2009075188775260160.html
《工业绿色微电网建设与应用指南（2026—2030年）》,2026/1/9,国家级,,4.能源领域,,"绿色微电网,新能源",旨在促进重点行业领域节能降碳。工业绿色微电网是以向工业用户提供绿色电力为主要目的，集成应用光伏、风电、高效热泵、新型储能、氢能、余热余压余气、智慧能源管控等一体化系统，可融合工业生产过程、与电网友好互动并实现协同自治的综合能源系统。工业绿色微电网主要包括可再生能源发电、工业余能利用、清洁低碳氢制取与利用、新型储能应用、电能变换与柔性互联、数字化能碳管理等设施或系统。,https://www.miit.gov.cn/jgsj/jns/wjfb/art/2026/art_df9bda40e7254effaddcf1a704e41834.html
《关于推进能源气象服务体系建设的指导意见》,2026/1/9,国家级,,4.能源领域,,能源气象服务体系,气候变化背景下，能源绿色低碳转型和能源安全与气象工作息息相关。为加快构建能源气象服务体系，全面提升能源产供储销全链条气象服务能力，提出到2027年，覆盖能源规划选址及供应保障、资源监测预报、防灾减灾、气候生态效应评估、电力市场交易等全场景和短临至月季年尺度无缝隙的一体化能源气象服务体系基本建立，自主可控的风能太阳能专业数值模式和能源电力气象人工智能专业模型业务化运行。国省两级建立有技术平台、有服务产品、有业务流程、有服务对象的能源气象服务业务。到2030年，能源气象人工智能专业模型得到深入应用，水风光储等气象服务关键技术达到国际先进水平，高质效气象服务助力实现“碳达峰”阶段目标。重点任务包括完成全国风电和光伏发电资源普查、优化风能太阳能资源监测评估业务等。,https://www.cma.gov.cn/zfxxgk/gknr/wjgk/gfxwj/202601/t20260109_7536713.html
《广西电动汽车充电基础设施建设运营管理办法》,2026/1/9,区域地方级,广西,4.能源领域,,充电基础设施,旨在进一步规范广西壮族自治区充电基础设施建设、运营管理，构建和完善广西高质量充电基础设施和电动汽车服务网络，更好推动电动汽车推广应用。共六个章节33条，主要提出充电基础设施规划编制要求，各场景下充电基础设施配置要求，以及充电基础设施施工单位、项目工程质量安全、充电基础设施产品使用、项目审核报装流程要求等。,http://fgw.gxzf.gov.cn/zfxxgkzl/wjzx/zyzc/zdyj/t27099781.shtml
