城市,PM25,O3
林芝市,6,120
三亚市,11,86
山南市,4,147
儋州市,11,88
甘孜藏族自治州,6,106
阿勒泰地区,5,113
阿坝藏族羌族自治州,8,120
玉树藏族自治州,5,130
大兴安岭地区,10,108
昌都市,4,137
海口市,11.3,108
红河哈尼族彝族自治州,16,98
日喀则市,5,148
龙岩市,13,91
黔南布依族苗族自治州,14,90
南平市,12,102
塔城地区,7,110
丽江市,11,116
迪庆藏族自治州,9,120
阿里地区,6,155
文山壮族苗族自治州,15,102
克拉玛依市,8,122
大理白族自治州,14,110
湛江市,12,109
拉萨市,7.8,147
楚雄彝族自治州,16,104
呼伦贝尔市,12,102
黔东南苗族侗族自治州,18,98
阳江市,14,113
茂名市,13,105
珠海市,12.9,123
六盘水市,15,113
黔西南布依族苗族自治州,16,112
西双版纳傣族自治州,16,89
锡林郭勒盟,9,126
黄山市,15.4,119
恩施土家族苗族自治州,15,108
梅州市,15,104
湘西土家族苗族自治州,19,96
玉溪市,14,113
中山市,12.8,128
铜仁市,15,106
桂林市,16,101
赣州市,16,111
北海市,15,112
保山市,19,108
河池市,13,108
凉山彝族自治州,15,115
丽水市,12.7,128
延边朝鲜族自治州,13,136
果洛藏族自治州,12,125
张家界市,20,95
安顺市,20,108
郴州市,18,105
崇左市,17,120
汕尾市,14,154
河源市,17,122
伊春市,16,139
三明市,16,100
怀化市,21,99
黑河市,17,114
深圳市,12.8,139
曲靖市,16,124
防城港市,16,113
遵义市,20,108
钦州市,16,110
贺州市,18,102
抚州市,17,115
怒江傈僳族自治州,22,98
南宁市,17.8,119
海北藏族自治州,20,135
永州市,21,111
云浮市,14,122
昆明市,17.3,123
福州市,15.1,143
娄底市,19,120
毕节市,18,117
贵阳市,17.1,106
邵阳市,21.9,108
昭通市,17,120
牡丹江市,16,134
鸡西市,16,130
贵港市,18,113
威海市,14,162
陇南市,16,118
厦门市,16.5,147
吉安市,16,130
咸宁市,17.1,126
韶关市,17,115
莆田市,16,148
通化市,12,140
亳州市,17.3,157
江门市,15.1,132
安康市,18,113
普洱市,19,106
惠州市,15.3,154
岳阳市,21.1,130
景德镇市,19,118
玉林市,20,104
来宾市,17,132
那曲市,15,152
十堰市,17,126
舟山市,14.4,145
宁德市,17,134
肇庆市,16.9,130
黄南藏族自治州,20,143
齐齐哈尔市,14,150
信阳市,18.7,143
鹰潭市,19,125
湘潭市,19.6,123
泉州市,17,146
绥化市,17,142
柳州市,18,127
汕头市,17,156
七台河市,17,128
新余市,20.2,126
宜春市,20.5,121
上饶市,18,127
兴安盟,15,147
博尔塔拉蒙古自治州,15,125
伊犁哈萨克自治州,14,131
六安市,21.8,149
益阳市,21,131
临沧市,26,108
常德市,22,121
佳木斯市,20,142
长沙市,20.3,135
驻马店市,19.4,139
衡阳市,17.6,116
攀枝花市,17,120
辽源市,12,156
南昌市,19.5,132
丹东市,19,134
白山市,13,139
株洲市,21.2,127
烟台市,14,163
佛山市,18,138
台州市,18.4,144
松原市,20,149
甘南藏族自治州,19,126
宁波市,15.5,156
商洛市,17,143
海南藏族自治州,21,147
双鸭山市,21,133
萍乡市,20.7,126
广安市,23.9,135
承德市,18.2,165
大连市,17.5,146
重庆市,19,132
梧州市,18,121
德宏傣族景颇族自治州,25,104
潮州市,20,166
青岛市,15.5,166
宣城市,19.9,164
雅安市,21.5,149
巴中市,22,123
百色市,20,124
广州市,15.7,151
清远市,19,144
汉中市,23,130
海西蒙古族藏族自治州,18,151
大庆市,18,146
石河子市,14,137
庆阳市,19,134
铜川市,18.9,136
盐城市,20.2,154
白城市,16,168
鹤岗市,21,129
揭阳市,20,144
黄冈市,23.9,155
张家口市,18.8,173
金华市,18.5,149
本溪市,15,146
东莞市,15.3,181
哈密市,20,128
五家渠市,18,128
长春市,17.8,155
漳州市,21,149
南充市,24.6,130
连云港市,18,161
周口市,22.3,142
商丘市,21.5,153
荆州市,25.8,132
孝感市,20.8,156
随州市,18.8,153
济宁市,18.5,169
昌吉回族自治州,16,140
吉林市,20,150
南阳市,22.5,137
宜昌市,20.6,138
宿迁市,21.9,163
乌兰察布市,16,166
