城市,PM25
林芝市,6
三亚市,11
山南市,4
儋州市,11
甘孜藏族自治州,6
阿勒泰地区,5
阿坝藏族羌族自治州,8
玉树藏族自治州,5
大兴安岭地区,10
昌都市,4
海口市,11
红河哈尼族彝族自治州,16
日喀则市,5
龙岩市,13
黔南布依族苗族自治州,14
南平市,12
塔城地区,7
丽江市,11
迪庆藏族自治州,9
阿里地区,6
文山壮族苗族自治州,15
克拉玛依市,8
大理白族自治州,14
湛江市,12
拉萨市,8
楚雄彝族自治州,16
呼伦贝尔市,12
黔东南苗族侗族自治州,18
阳江市,14
茂名市,13
珠海市,13
六盘水市,15
黔西南布依族苗族自治州,16
西双版纳傣族自治州,16
锡林郭勒盟,9
黄山市,15
恩施土家族苗族自治州,15
梅州市,15
湘西土家族苗族自治州,19
玉溪市,14
中山市,13
铜仁市,15
桂林市,16
赣州市,16
北海市,15
保山市,19
河池市,13
凉山彝族自治州,15
丽水市,13
延边朝鲜族自治州,13
果洛藏族自治州,12
张家界市,20
安顺市,20
郴州市,18
崇左市,17
汕尾市,14
河源市,17
伊春市,16
三明市,16
怀化市,21
黑河市,17
深圳市,13
曲靖市,16
防城港市,16
遵义市,20
钦州市,16
贺州市,18
抚州市,17
怒江傈僳族自治州,22
南宁市,18
海北藏族自治州,20
永州市,21
云浮市,14
昆明市,17
福州市,15
娄底市,19
毕节市,18
贵阳市,17
邵阳市,24
昭通市,17
牡丹江市,16
鸡西市,16
贵港市,18
威海市,14
陇南市,16
厦门市,16
吉安市,16
咸宁市,17
韶关市,17
莆田市,16
通化市,12
亳州市,17
江门市,15
安康市,18
普洱市,19
惠州市,15
岳阳市,17
景德镇市,19
玉林市,20
来宾市,17
那曲市,15
十堰市,17
舟山市,14
宁德市,17
肇庆市,17
黄南藏族自治州,20
齐齐哈尔市,14
信阳市,19
鹰潭市,19
湘潭市,20
泉州市,17
绥化市,17
柳州市,18
汕头市,17
七台河市,17
新余市,20
宜春市,21
上饶市,18
兴安盟,15
博尔塔拉蒙古自治州,15
伊犁哈萨克自治州,14
六安市,22
益阳市,21
临沧市,26
常德市,22
佳木斯市,20
长沙市,20
驻马店市,19
衡阳市,22
攀枝花市,17
辽源市,12
南昌市,20
丹东市,19
白山市,13
株洲市,21
烟台市,14
佛山市,18
台州市,18
松原市,20
甘南藏族自治州,19
宁波市,15
商洛市,17
海南藏族自治州,21
双鸭山市,21
萍乡市,21
广安市,24
承德市,18
大连市,18
重庆市,19
梧州市,18
德宏傣族景颇族自治州,25
潮州市,20
青岛市,15
宣城市,20
雅安市,22
巴中市,22
百色市,20
广州市,16
清远市,19
汉中市,23
海西蒙古族藏族自治州,18
大庆市,18
石河子市,14
庆阳市,19
铜川市,19
盐城市,20
白城市,16
鹤岗市,21
揭阳市,20
黄冈市,24
张家口市,19
金华市,18
本溪市,15
东莞市,15
哈密市,20
五家渠市,18
长春市,18
漳州市,21
南充市,25
连云港市,18
周口市,23
商丘市,21
荆州市,26
孝感市,21
随州市,19
济宁市,18
昌吉回族自治州,16
吉林市,20
南阳市,23
宜昌市,21
宿迁市,22
乌兰察布市,16
赤峰市,16
哈尔滨市,16
宝鸡市,22
温州市,20
衢州市,21
池州市,19
淮安市,21
濮阳市,20
达州市,19
泰安市,20
泸州市,22
广元市,21
遂宁市,23
辽阳市,17
朝阳市,16
菏泽市,22
宿州市,23
九江市,21
运城市,19
四平市,18
乌鲁木齐市,18
潍坊市,17
日照市,16
绍兴市,21
嘉兴市,19
安庆市,22
天水市,23
阜新市,16
铁岭市,13
许昌市,25
漯河市,23
内江市,26
长治市,18
济南市,17
呼和浩特市,19
延安市,21
徐州市,22
武汉市,23
上海市,21
淮北市,21
黄石市,22
资阳市,29
通辽市,18
鞍山市,19
南通市,18
淮南市,24
自贡市,26
合肥市,21
聊城市,19
南京市,19
杭州市,22
沈阳市,16
阜阳市,23
盘锦市,28
抚顺市,17
晋城市,20
荆门市,27
三门峡市,23
襄阳市,26
平顶山市,26
葫芦岛市,21
宜宾市,27
鄂州市,21
鄂尔多斯市,20
邯郸市,24
乐山市,27
锦州市,23
秦皇岛市,20
绵阳市,25
苏州市,20
东营市,19
定西市,26
石家庄市,23
朔州市,20
蚌埠市,22
阿拉善盟,23
大同市,18
邢台市,23
成都市,28
滨州市,21
泰州市,23
西安市,23
渭南市,24
营口市,20
沧州市,25
衡水市,21
安阳市,27
咸阳市,26
湖州市,25
郑州市,27
焦作市,26
枣庄市,19
临沂市,20
洛阳市,26
固原市,25
无锡市,19
西宁市,31
眉山市,20
常州市,22
淄博市,21
芜湖市,24
吕梁市,18
包头市,22
保定市,25
北京市,24
扬州市,23
忻州市,21
滁州市,28
晋中市,23
酒泉市,30
德阳市,31
铜陵市,25
德州市,21
镇江市,26
开封市,28
唐山市,29
新乡市,27
廊坊市,28
太原市,22
榆林市,23
天津市,25
鹤壁市,33
临夏回族自治州,35
临汾市,23
海东市,32
马鞍山市,27
嘉峪关市,27
张掖市,32
阳泉市,24
平凉市,30
武威市,34
巴彦淖尔市,31
白银市,34
银川市,32
金昌市,37
中卫市,35
吴忠市,35
兰州市,36
乌海市,31
石嘴山市,34
巴音郭楞蒙古自治州,61
吐鲁番市,53
克孜勒苏柯尔克孜自治州,78
喀什地区,89
阿克苏地区,126
和田地区,136
