城市,PM25,O3
甘孜藏族自治州,4,85
阿里地区,4,124
林芝市,8,116
阿勒泰地区,4,105
山南市,5,125
阿坝藏族羌族自治州,9,106
昌都市,8,119
锡林郭勒盟,10,94
黔南布依族苗族自治州,14,90
塔城地区,10,101
日喀则市,8,130
三亚市,14,107
黔东南苗族侗族自治州,16,88
拉萨市,8,130
迪庆藏族自治州,14,114
儋州市,17,98
遵义市,17,91
大兴安岭地区,17,91
呼伦贝尔市,16,98
毕节市,17,84
海口市,16,115
铜仁市,16,98
雅安市,17,97
玉树藏族自治州,8,126
南平市,16,112
恩施土家族苗族自治州,18,97
昭通市,17,102
怀化市,19,102
湘西土家族苗族自治州,20,102
湛江市,17,116
贵阳市,18,94
凉山彝族自治州,16,113
丽江市,17,120
遂宁市,16,92
龙岩市,19,118
南充市,19,93
舟山市,16,118
巴中市,17,98
茂名市,18,109
丽水市,18,126
汕尾市,19,133
阳江市,17,132
安顺市,22,103
宁德市,19,127
北海市,18,119
克拉玛依市,17,116
黑河市,21,97
福州市,19,125
重庆市,19,96
珠海市,18,135
河池市,24,88
深圳市,17,125
资阳市,25,103
六盘水市,21,116
伊春市,27,101
中山市,18,133
广安市,24,94
泉州市,22,113
河源市,21,130
达州市,17,81
惠州市,19,138
张家界市,25,105
景德镇市,24,116
莆田市,22,130
三明市,20,124
大理白族自治州,27,122
梅州市,21,124
那曲市,21,122
厦门市,20,134
黄山市,24,119
云浮市,19,131
汕头市,21,140
果洛藏族自治州,21,119
永州市,27,102
娄底市,27,102
赣州市,21,133
黔西南布依族苗族自治州,28,126
台州市,21,126
陇南市,21,92
内江市,25,106
玉林市,25,106
广元市,18,107
宁波市,19,128
安康市,25,103
桂林市,25,99
汉中市,24,104
自贡市,25,107
楚雄彝族自治州,28,130
防城港市,24,115
乐山市,24,108
海北藏族自治州,27,117
哈密市,19,111
邵阳市,30,105
绵阳市,22,113
肇庆市,20,148
南宁市,28,112
郴州市,29,108
泸州市,28,93
南通市,25,117
曲靖市,27,138
上海市,24,117
钦州市,25,116
眉山市,21,110
成都市,26,118
韶关市,23,137
温州市,23,122
红河哈尼族彝族自治州,34,133
怒江傈僳族自治州,33,118
张家口市,28,120
江门市,20,152
潮州市,27,148
衡阳市,30,94
萍乡市,30,109
宜宾市,30,101
博尔塔拉蒙古自治州,20,116
贺州市,28,102
玉溪市,29,137
甘南藏族自治州,28,109
德阳市,27,119
梧州市,25,113
文山壮族苗族自治州,33,136
黄南藏族自治州,32,118
伊犁哈萨克自治州,22,113
鹤岗市,31,104
广州市,21,149
昆明市,30,135
湘潭市,33,104
保山市,34,146
抚州市,30,135
柳州市,30,107
海南藏族自治州,28,127
嘉兴市,25,141
东莞市,21,162
新余市,31,133
乌兰察布市,25,121
佛山市,23,160
攀枝花市,27,122
绍兴市,29,126
株洲市,33,104
常德市,34,120
揭阳市,28,138
宜春市,29,130
清远市,24,157
商洛市,28,130
漳州市,28,147
鹰潭市,34,143
长沙市,35,107
海西蒙古族藏族自治州,25,146
吉安市,30,127
赤峰市,32,108
盐城市,37,123
衢州市,31,133
上饶市,29,135
阿拉善盟,26,112
益阳市,40,110
贵港市,33,110
崇左市,37,122
通辽市,33,115
百色市,34,116
来宾市,36,113
承德市,35,122
呼和浩特市,30,104
宜昌市,36,130
临沧市,43,140
金华市,32,135
南昌市,36,130
苏州市,31,134
咸宁市,37,130
鄂尔多斯市,27,116
佳木斯市,42,109
十堰市,40,127
齐齐哈尔市,40,112
杭州市,35,123
湖州市,35,141
延安市,31,117
岳阳市,39,115
泰州市,39,126
无锡市,30,137
延边朝鲜族自治州,45,113
五家渠市,41,130
定西市,34,116
黄冈市,43,140
池州市,37,135
威海市,41,138
宣城市,43,128
安庆市,41,136
鄂州市,39,132
阜新市,39,128
双鸭山市,46,105
昌吉回族自治州,40,138
朔州市,33,112
黄石市,41,128
天水市,33,121
白城市,45,110
庆阳市,36,120
朝阳市,41,122
普洱市,41,152
